accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey
LU335346,LU069356;LU069353;LU069355;LU069354;LU069351;LU069352,5505,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,16.151,min,JLRGJRBPOGGCBT-UHFFFAOYSA-N
LU295825,LU070154;LU070153;LU070152;LU070156;LU070151;LU070155,5591,CC1=C(C(=C2CCC(OC2=C1C)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C)O,18.741,min,GXPHKUHSUJUWKP-UHFFFAOYSA-N
LU498811,LU029353;LU029356;LU029351;LU029352;LU029355;LU029354,5694,CC1=C(C(=CC=C1)NC2=CC(=NC(=N2)SCC(=O)O)Cl)C,17.832,min,SZRPDCCEHVWOJX-UHFFFAOYSA-N
LU039495,LU022251;LU022253;LU022252;LU022256;LU022255;LU022254,5724,C1=CC2=C(C=C1Cl)N(C(=O)N(C2=O)CC3=C(C=C(C=C3)Br)F)CC(=O)O,18.674,min,SXONDGSPUVNZLO-UHFFFAOYSA-N
LU680328,LU103453;LU103452;LU103456;LU103454;LU103455;LU103451,5755,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,15.523,min,OIGNJSKKLXVSLS-VWUMJDOOSA-N
LU040117,LU101353;LU101355,5770,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,15.298,min,QEVHRUUCFGRFIF-MDEJGZGSSA-N
LU656024,LU095852;LU095855;LU095856;LU095854;LU095853;LU095851,5794,CCCCOCCOCCOCC1=CC2=C(C=C1CCC)OCO2,20.612,min,FIPWRIJSWJWJAI-UHFFFAOYSA-N
LU762258,LU134852;LU134853;LU134855;LU134856;LU134851;LU134854,5798,C1=CC=C2C(=C1)NC=N2,14.264,min,HYZJCKYKOHLVJF-UHFFFAOYSA-N
LU656810,LU069952;LU069953;LU069955;LU069954;LU069951;LU069956,5819,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)O)N,17.024,min,XUIIKFGFIJCVMT-LBPRGKRZSA-N
LU088115,LU057355;LU057353;LU057352;LU057354;LU057351;LU057356,5865,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C,15.404,min,XOFYZVNMUHMLCC-ZPOLXVRWSA-N
LU988424,LU085953;LU085955;LU085956;LU085951;LU085954;LU085952,5870,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O,17.718,min,DNXHEGUUPJUMQT-CBZIJGRNSA-N
LU282096,LU070054;LU070055;LU070052;LU070056;LU070053;LU070051,5920,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O,16.268,min,AUYYCJSJGJYCDS-LBPRGKRZSA-N
LU428537,LU066255;LU066254;LU066256;LU066253;LU066252;LU066251,5959,C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],13.753,min,WIIZWVCIJKGZOK-RKDXNWHRSA-N
LU443620,LU079652;LU079656;LU079655;LU079654;LU079651;LU079653,6005,CN1CCC2=CC=CC3=C2[C@H]1CC4=C3C(=C(C=C4)O)O,11.103,min,VMWNQDUVQKEIOC-CYBMUJFWSA-N
LU094756,LU066355;LU066353;LU066352;LU066351;LU066354;LU066356,6009,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,13.593,min,RMMXTBMQSGEXHJ-UHFFFAOYSA-N
LU821548,LU045252;LU045255;LU045253;LU045256;LU045254;LU045251,6037,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N,11.004,min,OVBPIULPVIDEAO-LBPRGKRZSA-N
LU361887,LU033751;LU033755;LU033752;LU033754;LU033753;LU033756,6101,CC1=CC=C(C=C1)S(=O)(=O)O,10.209,min,JOXIMZWYDAKGHI-UHFFFAOYSA-N
LU849793,LU124754;LU124756;LU124751;LU124755;LU124753;LU124752,6108,C1=CC(=CC=C1C(=O)O)[N+](=O)[O-],14.695,min,OTLNPYWUJOZPPA-UHFFFAOYSA-N
